t	F1	F2	F3	F4	F5	dF1	dF2	dF3	dF4	dF5
 1.75342465753424657537E+0000  8.88464984708482209963E+0001  8.88464984708482209963E+0001  8.88464984708482209963E+0001  2.68775527596415952213E+0001  2.52392055880025258263E+0002  7.34565582553660014889E-0005  7.34565582553660014889E-0005  7.34565582553660014889E-0005  7.34702707570511695914E-0005  7.33880074989039907250E-0005
 1.78082191780821917811E+0000  1.25784658235908285352E+0002  1.25784658235908285352E+0002  1.25784658235908285352E+0002  6.47930092396746144107E+0001  2.75159622745940177474E+0002  7.34631571707907059538E-0005  7.34631571707907059538E-0005  7.34631571707907059538E-0005  7.34768710328493703592E-0005  7.33946000980354626787E-0005
 1.80821917808219178084E+0000  1.62754663789012558539E+0002  1.62754663789012558539E+0002  1.62754663789012558539E+0002  1.02943533500445456641E+0002  2.97217001505830216546E+0002  7.34703103964829575863E-0005  7.34703103964829575863E-0005  7.34703103964829575863E-0005  7.34840257226511286116E-0005  7.34017465933782269740E-0005
 1.83561643835616438358E+0000  1.99733732374998727621E+0002  1.99733732374998727621E+0002  1.99733732374998727621E+0002  1.40976591978294185564E+0002  3.19844946021893366178E+0002  7.34694452481191393374E-0005  7.34694452481191393374E-0005  7.34694452481191393374E-0005  7.34831602895879454093E-0005  7.34008834432248437723E-0005
 1.86301369863013698632E+0000  2.36714283871666145126E+0002  2.36714283871666145126E+0002  2.36714283871666145126E+0002  1.78698378908806504620E+0002  3.43697338244113363870E+0002  7.34658831586664456549E-0005  7.34658831586664456549E-0005  7.34658831586664456549E-0005  7.34795973256938292472E-0005  7.33973263047219508145E-0005
 1.89041095890410958905E+0000  2.73671028858343585749E+0002  2.73671028858343585749E+0002  2.73671028858343585749E+0002  2.16300747728452723240E+0002  7.88734436120034323407E+0000  7.34558945167627185369E-0005  7.34558945167627185369E-0005  7.34558945167627185369E-0005  7.34696063758049963223E-0005  7.33873499614174911251E-0005
 1.91780821917808219179E+0000  3.10602754087318587234E+0002  3.10602754087318587234E+0002  3.10602754087318587234E+0002  2.53904527939573970055E+0002  3.22069826918444973504E+0001  7.34472909913367703115E-0005  7.34472909913367703115E-0005  7.34472909913367703115E-0005  7.34610008499509325100E-0005  7.33787571675258955166E-0005
 1.94520547945205479453E+0000  3.47509744810227047679E+0002  3.47509744810227047679E+0002  3.47509744810227047679E+0002  2.91269746282364071804E+0002  5.73805346532232158699E+0001  7.34394459672873527191E-0005  7.34394459672873527191E-0005  7.34394459672873527191E-0005  7.34531540192317828672E-0005  7.33709217382353335450E-0005
 1.97260273972602739726E+0000  2.44046734615323928346E+0001  2.44046734615323928346E+0001  2.44046734615323928346E+0001  3.28317715479145164570E+0002  8.36642007265521091899E+0001  7.34388209899508063162E-0005  7.34388209899508063162E-0005  7.34388209899508063162E-0005  7.34525288072225480289E-0005  7.33702985237751624084E-0005
 2.00000000000000000000E+0000  6.13049232676894717727E+0001  6.13049232676894717727E+0001  6.13049232676894717727E+0001  5.45539397736764186805E+0000  1.09734105104582811779E+0002  7.34444944487914771007E-0005  7.34444944487914771007E-0005  7.34444944487914771007E-0005  7.34582034130047074500E-0005  7.33759668000693856720E-0005
 2.02739726027397260274E+0000  9.82186439583873799886E+0001  9.82186439583873799886E+0001  9.82186439583873799886E+0001  4.27981977841480439664E+0001  1.35348604701151286653E+0002  7.34549834585790528367E-0005  7.34549834585790528367E-0005  7.34549834585790528367E-0005  7.34686946508356509904E-0005  7.33864450455684621680E-0005
 2.05479452054794520547E+0000  1.35140281891718127563E+0002  1.35140281891718127563E+0002  1.35140281891718127563E+0002  8.00542726513039121575E+0001  1.61902242327939004871E+0002  7.34656102030322402831E-0005  7.34656102030322402831E-0005  7.34656102030322402831E-0005  7.34793236668422582053E-0005  7.33970607288966590549E-0005
 2.08219178082191780821E+0000  1.71999924409417129165E+0002  1.71999924409417129165E+0002  1.71999924409417129165E+0002  1.17317752785431550840E+0002  1.89272848929649456146E+0002  7.34671512729328333595E-0005  7.34671512729328333595E-0005  7.34671512729328333595E-0005  7.34808650298802649776E-0005  7.33986005940246434164E-0005
 2.10958904109589041095E+0000  2.08716547747581413083E+0002  2.08716547747581413083E+0002  2.08716547747581413083E+0002  1.54651929438901823657E+0002  2.19253670957108395781E+0002  7.34657574243902827268E-0005  7.34657574243902827268E-0005  7.34657574243902827268E-0005  7.34794708229754253948E-0005  7.33972088609598743660E-0005
 2.13698630136986301368E+0000  2.45360330494395299183E+0002  2.45360330494395299183E+0002  2.45360330494395299183E+0002  1.91931164833975839906E+0002  2.75097474212126275800E+0002  7.34564559921717750894E-0005  7.34564559921717750894E-0005  7.34564559921717750894E-0005  7.34701673174854224270E-0005  7.33879180457071012015E-0005
 2.16438356164383561642E+0000  2.82011092417546713168E+0002  2.82011092417546713168E+0002  2.82011092417546713168E+0002  2.29089227695307193489E+0002  2.27966632581803111970E+0002  7.34473862123122442966E-0005  7.34473862123122442966E-0005  7.34473862123122442966E-0005  7.34610955371786466287E-0005  7.33788583862464319998E-0005
